t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
15.999812,10037,10044,390,38,6.13
16.099814,10032,10040,0,38,6.13
16.199821,10033,10044,0,38,6.13
16.299813,10030,10036,0,38,6.13
16.399813,10034,10032,0,38,6.14
16.499813,10035,10032,0,38,6.14
16.599799,10037,10032,0,38,6.14
16.699813,10041,10032,0,38,6.14
16.799812,10042,10032,143,38,6.14
16.899813,10046,10032,143,38,6.14
16.999821,10051,10032,143,38,6.13
17.09982,10050,10044,92,38,6.13
17.19982,10053,10044,92,38,6.14
17.299814,10062,10048,92,38,6.14
17.399815,10065,10052,92,38,6.13
17.499812,10063,10056,179,38,6.13
17.59979,10057,10064,179,38,6.13
17.69982,10050,10064,179,38,6.14
17.799818,10043,10060,52,38,6.14
17.899814,10035,10056,52,38,6.14
17.999821,10037,10048,52,38,6.13
18.099821,10053,10036,0,38,6.13
18.199814,10067,10040,0,38,6.13
18.299814,10083,10052,0,38,6.13
18.399813,10101,10064,0,38,6.13
18.499822,10114,10088,317,38,6.13
18.599799,10119,10104,317,38,6.13
18.699814,10118,10112,317,38,6.14
18.799814,10107,10116,0,38,6.14
18.899822,10091,10108,0,38,6.14
18.999814,10074,10108,0,38,6.13
19.099812,10062,10092,337,38,6.13
19.199822,10056,10076,337,38,6.13
19.299819,10055,10068,337,38,6.13
19.399821,10072,10060,337,38,6.13
19.499827,10097,10056,397,38,6.13
19.599807,10106,10080,397,38,6.13
19.699824,10103,10096,397,38,6.13
19.799815,10098,10104,0,38,6.13
19.899828,10096,10108,0,38,6.13
19.999821,10091,10104,0,38,6.13
20.099831,10082,10104,105,38,6.13
20.199844,10074,10100,105,38,6.13
20.299833,10067,10088,105,38,6.13
20.399819,10057,10076,105,38,6.13
20.49985,10051,10072,530,38,6.13
20.599832,10046,10056,530,38,6.13
20.699812,10043,10056,530,38,6.14
20.799856,10039,10052,165,38,6.14
20.899813,10037,10052,165,38,6.14
20.999848,10034,10052,165,38,6.13
21.099812,10031,10044,252,38,6.13
21.19986,10030,10044,252,38,6.13
21.299822,10030,10040,252,38,6.13
21.399849,10034,10036,252,38,6.13
21.499821,10028,10032,0,38,6.13
21.599816,10017,10036,0,38,6.13
21.699821,10017,10032,0,38,6.13
21.799858,10020,10032,290,38,6.13
21.899812,10021,10028,290,38,6.13
21.999844,10025,10028,290,38,6.13
22.099824,10029,10028,0,38,6.13
22.199834,10025,10024,0,38,6.14
22.299822,10023,10024,0,38,6.14
22.399822,10021,10024,0,38,6.14
22.499823,10023,10024,0,38,6.14
22.599788,10031,10024,0,38,6.14
22.699822,10037,10028,0,38,6.14
22.799816,10040,10024,75,38,6.14
22.899812,10044,10028,75,38,6.14
22.999815,10051,10032,75,38,6.13
23.099823,10059,10040,261,38,6.13
23.199821,10065,10044,261,38,6.13
23.299819,10071,10056,261,38,6.13
23.399799,10069,10064,261,38,6.13
23.499814,10063,10064,81,38,6.13
23.599789,10063,10064,81,38,6.13
23.699821,10064,10068,81,38,6.14
23.799793,10062,10064,0,38,6.14
23.899813,10059,10064,0,38,6.14
23.999799,10055,10072,0,38,6.13
24.099822,10060,10068,232,38,6.13
24.199798,10062,10064,232,38,6.13
24.299818,10055,10068,232,38,6.13
24.399791,10035,10064,232,38,6.12
24.499817,10005,10056,368,38,6.12
24.599788,9992,10032,368,38,6.12
24.699827,10003,10004,368,38,6.13
24.799796,10017,9988,242,38,6.13
24.89981,10039,9992,242,38,6.13
24.999815,10069,10000,242,38,6.12
25.099811,10097,10024,904,38,6.12
25.199821,10120,10064,904,38,6.11
25.29981,10136,10100,904,38,6.11
25.399812,10144,10124,904,38,6.12
25.499818,10138,10132,564,38,6.12
25.599799,10129,10132,564,38,6.12
25.699818,10117,10132,564,38,6.14
25.799789,10106,10128,180,38,6.14
25.89982,10099,10116,180,38,6.14
25.99982,10095,10104,180,38,6.13
26.09981,10096,10100,78,38,6.13
26.199816,10092,10096,78,38,6.14
26.29981,10077,10096,78,38,6.14
26.399822,10064,10092,78,38,6.13
26.499812,10057,10084,363,38,6.13
26.599787,10052,10068,363,38,6.13
26.699818,10056,10064,363,38,6.13
26.799813,10057,10060,0,38,6.13
26.899811,10059,10056,0,38,6.13
26.999893,10059,10056,0,38,6.14
27.09981,10053,10056,0,38,6.14
27.199835,10046,10056,0,38,6.14
27.299817,10042,10060,0,38,6.14
27.399815,10048,10056,0,38,6.13
27.499819,10052,10052,0,38,6.13
27.599813,10050,10052,0,38,6.13
27.699819,10049,10056,0,38,6.14
27.799822,10050,10052,0,38,6.14
27.89981,10041,10052,0,38,6.14
27.999811,10032,10052,0,38,6.13
28.099817,10017,10052,354,38,6.13
28.199813,10012,10036,354,38,6.13
28.299811,10023,10028,354,38,6.13
28.399812,10041,10024,354,38,6.13
28.499818,10043,10028,211,38,6.13
28.599829,10028,10036,211,38,6.13
28.699824,10008,10040,211,38,6.13
28.799811,9996,10036,486,38,6.13
28.899818,9974,10016,486,38,6.13
28.999813,9952,9996,486,38,6.12
29.099818,9936,9976,556,38,6.12
29.199813,9925,9952,556,38,6.13
29.29981,9912,9940,556,38,6.13
29.399812,9904,9920,556,38,6.13
29.499809,9912,9916,203,38,6.13
29.599789,9918,9916,203,38,6.13
29.699809,9916,9916,203,38,6.14
29.799829,9917,9916,0,38,6.14
29.899811,9919,9920,0,38,6.14
29.999809,9913,9920,0,38,6.13
30.099819,9896,9916,0,38,6.13
30.199818,9889,9916,0,38,6.13
30.299813,9897,9904,0,38,6.13
30.399814,9914,9908,0,38,6.13
30.499809,9920,9904,46,38,6.13
30.59979,9923,9908,46,38,6.13
30.699811,9919,9904,46,38,6.13
30.799814,9919,9908,257,38,6.13
30.89981,9913,9912,257,38,6.13
30.99982,9903,9912,257,38,7.46
31.09981,9893,9908,242,38,7.46
31.19981,9883,9900,242,38,7.46
31.299808,9885,9892,242,38,7.46
