t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
0.052244,7503,7484,310,26,6.05
0.152063,7503,7484,310,26,6.05
0.25207,7503,7484,310,26,6.07
0.352064,7503,7484,428,26,6.07
0.452065,7503,7484,428,26,6.07
0.552064,7503,7484,428,26,6.07
0.65209,7503,7484,544,26,6.07
0.752064,7503,7484,544,26,6.06
0.85208,7503,7484,544,26,6.06
0.952065,7503,7484,544,26,6.06
1.064021,6064,7244,4095,26,6.06
1.164058,6064,6084,4095,26,6.06
1.264022,6064,6068,4095,26,6.43
1.364071,6064,6068,0,26,6.43
1.464023,6064,6068,0,26,6.43
1.564059,6064,6068,0,26,7.41
1.664025,6064,6068,0,26,7.41
1.764057,6064,6068,0,26,7.41
1.864023,6064,6068,0,26,7.41
1.964059,6064,6068,0,26,7.41
2.064046,6064,6068,0,26,7.41
2.164058,6064,6068,0,26,7.41
2.264042,6064,6068,0,26,7.41
2.364066,6064,6068,0,26,7.41
2.464022,6064,6068,0,26,7.41
2.564067,6064,6068,0,26,7.41
2.664023,6064,6068,0,26,7.41
2.764058,6064,6068,0,26,7.41
2.864025,6064,6068,0,27,7.41
2.964057,6064,6068,0,27,7.41
3.064048,6064,6068,0,27,7.41
3.164058,6064,6068,0,27,7.41
3.264022,6064,6068,0,27,7.41
3.364059,6064,6068,0,27,7.41
3.464023,6064,6068,0,27,7.41
3.564058,6064,6068,0,27,7.41
3.664023,6064,6068,0,27,7.41
3.764066,6064,6068,0,27,7.41
3.864023,6064,6068,0,27,7.41
3.964062,6064,6068,0,27,7.41
4.064023,6064,6068,0,27,7.41
4.16406,6064,6068,0,27,7.41
4.264022,6064,6068,0,27,7.41
4.364066,6064,6068,0,27,7.41
4.464022,6064,6068,0,27,7.41
4.564065,6064,6068,0,27,7.41
4.664025,6064,6068,0,27,7.41
4.764066,6064,6068,0,27,7.41
4.864023,6064,6068,0,27,7.41
4.96406,6064,6068,0,27,7.41
5.064023,6064,6068,0,27,7.41
5.164059,6064,6068,0,27,7.41
5.264023,6064,6068,0,27,7.41
5.364066,6064,6068,0,27,7.41
5.464033,6064,6068,0,27,7.41
5.564059,6064,6068,0,27,7.41
5.664025,6064,6068,0,27,7.41
5.764059,6064,6068,0,27,7.41
5.864022,6064,6068,0,27,7.41
5.964069,6064,6068,0,27,7.41
6.064025,6064,6068,0,27,7.41
6.164069,6064,6068,0,27,7.41
6.264046,6064,6068,0,27,6.09
6.36407,6064,6068,0,27,6.09
6.464056,6064,6068,0,27,6.09
6.564059,6064,6068,0,27,6.09
6.664026,6064,6068,0,27,6.09
6.76406,6064,6068,0,27,6.09
6.864027,6064,6068,0,27,6.09
6.964067,6064,6068,0,27,6.09
7.064022,6064,6068,0,27,6.09
7.164066,6064,6064,0,27,6.09
7.264022,6064,6068,0,27,6.09
7.364067,6064,6068,0,27,6.09
7.464069,6064,6068,0,27,6.09
7.564059,6064,6068,0,27,6.09
7.664022,6064,6068,0,27,6.09
7.764059,6064,6068,0,27,6.09
7.86402,6064,6068,0,27,6.09
7.964072,6064,6068,0,27,6.09
8.064022,6064,6068,0,27,6.09
8.164065,6064,6068,0,27,6.09
8.264026,6064,6068,0,27,6.09
8.364058,6064,6068,0,27,6.09
8.464064,6064,6068,0,27,6.09
8.564067,6064,6068,0,27,6.09
8.66404,6064,6068,0,27,6.09
8.764059,6064,6068,0,27,6.09
8.864022,6064,6068,0,27,6.09
8.964065,6064,6068,0,27,6.09
9.064022,6064,6068,0,27,6.09
9.164068,6064,6068,0,27,6.09
9.264022,6064,6068,0,27,6.09
9.364059,6064,6068,0,27,6.09
9.464022,6064,6068,0,27,6.09
9.564058,6064,6068,0,27,6.09
9.664024,6064,6068,0,27,6.09
9.764059,6064,6068,0,27,6.09
9.864022,6064,6068,0,27,6.09
9.964061,6064,6068,0,27,6.09
10.064023,6064,6068,0,27,6.09
10.164067,6064,6064,0,27,6.09
10.264023,6064,6068,0,27,6.09
10.364059,6064,6068,0,27,6.09
10.464025,6064,6064,0,27,6.09
10.56406,6064,6068,0,27,6.09
10.664022,6064,6068,0,27,6.09
10.764059,6064,6068,0,27,6.09
10.864025,6064,6068,0,27,6.09
10.964076,6064,6068,0,27,6.09
11.064023,6064,6068,0,27,6.09
11.164086,6064,6068,0,27,6.09
11.264023,6064,6068,0,27,6.09
11.364059,6064,6068,0,27,6.09
11.464022,6064,6068,0,27,6.09
11.564057,6064,6068,0,27,6.09
11.664025,6064,6068,0,27,6.09
11.764071,6064,6068,0,27,6.09
11.864032,6064,6068,0,26,6.09
11.964058,6064,6068,0,26,6.09
12.064024,6064,6068,0,26,6.09
12.164084,6064,6064,0,26,6.09
12.264023,6064,6068,0,26,6.09
12.364058,6064,6068,0,26,6.09
12.464024,6064,6068,0,26,6.09
12.56407,6064,6068,0,26,6.09
12.664025,6064,6068,0,26,6.09
12.764067,6064,6068,0,26,6.09
12.864026,6064,6068,0,26,6.09
12.964059,6064,6068,0,26,6.09
13.064022,6064,6068,0,26,6.09
13.164099,6064,6064,0,26,6.09
13.264023,6064,6068,0,26,6.09
13.364059,6064,6068,0,26,6.09
13.464022,6064,6064,0,26,6.09
13.564059,6064,6068,0,26,6.09
13.664041,6064,6068,0,26,6.09
13.76406,6064,6068,0,26,6.09
13.86402,6064,6068,0,26,6.09
13.964068,6064,6068,0,26,6.09
14.064026,6064,6068,0,26,6.09
14.164118,6064,6068,0,26,6.09
14.264025,6064,6064,0,26,6.09
14.3641,6064,6068,0,26,6.09
14.464023,6064,6068,0,26,6.09
14.56407,6064,6068,0,26,6.09
14.664026,6064,6068,0,26,6.09
14.764071,6064,6064,0,26,6.09
14.864026,6064,6068,0,26,6.09
14.964104,6064,6068,0,26,6.09
15.064023,6064,6068,0,26,6.09
15.164073,6064,6068,0,26,6.09
15.264027,6064,6068,0,26,6.09
15.36409,6064,6064,0,26,6.09
15.464023,6064,6068,0,26,6.09
15.564082,6064,6068,0,26,6.09
15.664024,6064,6068,0,26,6.09
15.764077,6064,6068,0,26,6.09
15.864026,6064,6068,0,26,6.09
15.96406,6064,6068,0,26,6.09
16.064021,6064,6068,0,26,6.09
16.164067,6064,6068,0,26,6.09
16.264024,6064,6068,0,26,6.09
16.364074,6064,6068,0,26,6.09
16.464022,6064,6068,0,26,6.09
16.5641,6064,6068,0,26,6.09
16.664031,6064,6068,0,26,6.09
16.764077,6064,6068,0,26,6.09
16.864022,6064,6064,0,26,6.09
16.964059,6064,6068,0,26,5.98
17.064032,6064,6068,0,26,5.98
17.164068,6064,6068,0,26,5.98
17.264023,6064,6068,0,26,6.06
17.364064,6064,6068,0,26,6.06
17.464024,6064,6068,0,26,6.06
17.564068,6064,6064,0,26,6.08
17.664022,6064,6068,0,26,6.08
17.764061,6064,6068,0,26,6.08
17.864025,6064,6068,0,26,6.08
17.964061,6064,6068,0,26,6.09
18.064022,6064,6068,0,26,6.09
18.164058,6064,6068,0,26,6.09
18.264023,6064,6068,0,26,6.07
18.364059,6064,6068,0,26,6.07
18.464031,6064,6064,0,26,6.07
18.564059,6064,6068,0,26,6.06
18.664024,6064,6068,0,26,6.06
18.764057,6064,6064,0,26,6.07
18.864024,6064,6064,0,26,6.07
18.964059,6064,6068,0,26,6.08
19.064022,6064,6068,0,26,6.08
19.16406,6064,6068,0,26,6.08
19.264024,6064,6064,0,26,6
19.364079,6064,6068,0,26,6
19.464023,6064,6064,0,26,6
19.564059,6064,6068,0,26,6.09
19.664031,6064,6068,0,26,6.09
19.764063,6064,6068,0,26,6.09
19.864023,6064,6068,0,26,6.09
19.964059,6064,6068,0,26,5.97
20.064023,6064,6068,0,26,5.97
20.164067,6064,6068,0,26,5.97
20.264035,6064,6064,0,26,6.09
20.364068,6064,6068,0,26,6.09
20.464022,6064,6068,0,26,6.09
20.564061,6064,6068,0,26,6.09
20.664022,6064,6068,0,26,6.09
20.764058,6064,6064,0,26,6.08
20.864022,6064,6068,0,26,6.08
20.964059,6064,6068,0,26,5.97
21.064031,6064,6068,0,26,5.97
21.164059,6064,6068,0,26,5.97
21.264023,6064,6068,0,26,6.09
21.364058,6064,6064,0,26,6.09
21.464023,6064,6068,0,26,6.09
21.564066,6064,6068,0,26,6.09
21.664021,6064,6068,0,26,6.09
21.764057,6064,6068,0,26,6.09
21.864022,6064,6068,0,26,6.09
21.964059,6064,6068,0,26,6.09
22.064024,6064,6068,0,26,6.09
22.164075,6064,6068,0,26,6.09
22.264026,6064,6068,0,26,6.09
22.364067,6064,6068,0,26,6.09
22.464025,6064,6068,0,26,6.09
22.564091,6064,6064,0,26,6.09
22.664042,6064,6068,0,26,6.09
22.764068,6064,6068,0,26,6.09
22.864071,6064,6068,0,26,6.09
22.964059,6064,6068,0,26,6.09
23.064023,6064,6068,0,26,6.09
23.16406,6064,6068,0,26,6.09
23.264021,6064,6068,0,26,6.09
23.364068,6064,6068,0,26,6.09
23.464022,6064,6068,0,26,6.09
23.56406,6064,6068,0,26,6.09
23.664022,6064,6068,0,26,6.09
23.764085,6064,6068,0,26,6.09
23.864031,6064,6068,0,26,6.09
23.964059,6064,6068,0,26,6.09
24.064033,6064,6068,0,26,6.09
24.164061,6064,6068,0,26,6.09
24.264025,6064,6068,0,26,6.09
24.364058,6064,6068,0,26,6.09
24.464044,6064,6068,0,26,6.09
24.564066,6064,6068,0,26,6.09
24.664069,6064,6068,0,26,6.09
24.76406,6064,6068,0,26,6.09
24.864037,6064,6068,0,26,6.09
24.964068,6064,6068,0,26,6.09
25.064024,6064,6068,0,26,6.09
25.164058,6064,6068,0,26,6.09
25.264024,6064,6068,0,26,6.09
25.364059,6064,6068,0,26,6.09
25.464023,6064,6064,0,26,6.09
25.564059,6064,6064,0,26,6.08
25.664023,6064,6068,0,26,6.08
25.764059,6064,6068,0,26,6.09
25.864023,6064,6068,0,26,6.09
25.964058,6064,6068,0,26,6.09
26.064023,6064,6068,0,26,6.09
