t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
0.052244,7708,7680,426,24,5.95
0.152063,7708,7680,426,24,5.95
0.25207,7708,7680,426,24,5.85
0.352064,7708,7680,52,24,5.85
0.452065,7708,7680,52,24,5.85
0.552064,7708,7680,52,24,5.94
0.65209,7708,7684,426,24,5.94
0.752064,7708,7680,426,24,5.96
0.85208,7708,7684,426,24,5.96
0.952065,7708,7684,426,24,5.95
1.064021,6404,7436,4095,24,5.95
1.164058,6404,6428,4095,24,5.95
1.264022,6404,6412,4095,24,7.21
1.364071,6404,6412,221,24,7.21
1.464023,6404,6412,221,24,7.21
1.564059,6404,6412,221,24,7.39
1.664025,6404,6412,221,24,7.39
1.764057,6404,6412,221,24,7.39
1.864023,6404,6412,221,25,7.39
1.964059,6404,6412,221,25,7.39
2.064046,6404,6412,221,25,7.39
2.164058,6404,6412,221,25,7.39
2.264042,6404,6412,221,25,7.38
2.364066,6404,6412,221,25,7.38
2.464022,6404,6412,221,25,7.38
2.564067,6404,6412,221,25,7.39
2.664023,6404,6412,221,25,7.39
2.764058,6404,6412,221,25,7.38
2.864025,6404,6412,221,25,7.38
2.964057,6404,6412,221,25,7.39
3.064048,6404,6412,221,25,7.39
3.164058,6404,6412,221,25,7.39
3.264022,6404,6412,221,25,7.39
3.364059,6404,6412,221,25,7.39
3.464023,6404,6412,221,25,7.39
3.564058,6404,6412,221,25,7.39
3.664023,6404,6412,221,25,7.39
3.764066,6404,6412,221,25,7.39
3.864023,6404,6412,221,25,7.39
3.964062,6404,6412,221,25,7.39
4.064023,6404,6412,221,25,7.39
4.16406,6404,6412,221,25,7.39
4.264022,6404,6412,221,25,7.39
4.364066,6404,6412,221,25,7.39
4.464022,6404,6412,221,25,7.39
4.564065,6404,6412,221,25,7.39
4.664025,6404,6412,221,25,7.39
4.764066,6404,6412,221,25,7.39
4.864023,6404,6412,221,25,7.39
4.96406,6404,6412,221,25,7.38
5.064023,6404,6412,221,25,7.38
5.164059,6404,6412,221,25,7.38
5.264023,6404,6412,221,25,7.39
5.364066,6404,6412,221,25,7.39
5.464033,6404,6412,221,25,7.39
5.564059,6404,6412,221,25,7.39
5.664025,6404,6412,221,25,7.39
5.764059,6404,6412,221,25,7.39
5.864022,6404,6412,221,25,7.39
5.964069,6404,6412,221,25,7.38
6.064025,6404,6412,221,25,7.38
6.164069,6404,6412,221,25,7.38
6.264046,6404,6412,221,25,6.06
6.36407,6404,6412,221,25,6.06
6.464056,6404,6412,221,25,6.06
6.564059,6404,6412,221,25,6.06
6.664026,6404,6412,221,25,6.06
6.76406,6404,6412,221,25,6.06
6.864027,6404,6412,221,25,6.06
6.964067,6404,6412,221,25,6.06
7.064022,6404,6412,221,25,6.06
7.164066,6404,6412,221,25,6.06
7.264022,6404,6412,221,25,6.06
7.364067,6404,6412,221,25,6.06
7.464069,6404,6412,221,25,6.06
7.564059,6404,6412,221,25,6.06
7.664022,6404,6412,221,25,6.06
7.764059,6404,6412,221,25,6.06
7.86402,6404,6412,221,25,6.06
7.964072,6404,6412,221,25,6.06
8.064022,6404,6412,221,25,6.06
8.164065,6404,6412,221,25,6.06
8.264026,6404,6412,221,25,6.06
8.364058,6404,6412,221,25,6.06
8.464064,6404,6412,221,25,6.06
8.564067,6404,6412,221,25,6.06
8.66404,6404,6412,221,25,6.06
8.764059,6404,6412,221,25,6.06
8.864022,6404,6412,221,25,6.06
8.964065,6404,6412,221,25,6.06
9.064022,6404,6412,221,25,6.06
9.164068,6404,6412,221,25,6.06
9.264022,6404,6412,221,25,6.06
9.364059,6404,6412,221,25,6.06
9.464022,6404,6412,221,25,6.06
9.564058,6404,6412,221,25,6.06
9.664024,6404,6412,221,25,6.06
9.764059,6404,6412,221,25,6.06
9.864022,6404,6412,221,25,6.06
9.964061,6404,6412,221,25,6.06
10.064023,6404,6412,221,25,6.06
10.164067,6404,6412,221,25,6.06
10.264023,6404,6412,221,25,6.06
10.364059,6404,6412,221,25,6.06
10.464025,6404,6412,221,25,6.06
10.56406,6404,6412,221,25,6.06
10.664022,6404,6412,221,25,6.06
10.764059,6404,6412,221,25,6.06
10.864025,6404,6412,221,25,6.06
10.964076,6404,6412,221,25,6.06
11.064023,6404,6412,221,25,6.06
11.164086,6404,6412,221,25,6.06
11.264023,6404,6412,221,25,6.06
11.364059,6404,6412,221,25,6.06
11.464022,6404,6412,221,25,6.06
11.564057,6404,6412,221,25,6.06
