t__s,ACT_AILERON_LEFT.Position_CMD,ACT_AILERON_LEFT.Position_FB,ACT_AILERON_LEFT.Torque_FB,ACT_AILERON_LEFT.Temperature_FB__dC,ACT_AILERON_LEFT.Voltage_FB__V
-0.027891,7520,7532,138,7,6
0.07195,7520,7532,151,7,6
0.17195,7520,7532,151,7,6
0.271987,7520,7532,151,7,5.99
0.37195,7520,7532,163,7,5.99
0.471965,7520,7532,163,7,5.99
0.571951,7520,7532,163,7,5.99
0.671989,7520,7532,163,7,5.99
0.77195,7520,7532,179,7,5.99
0.871949,7520,7532,179,7,5.99
0.972108,7520,7532,179,7,6
1.080032,8196,7956,1272,7,6
1.180011,8199,8188,1272,7,6
1.280039,8199,8192,1272,7,7.44
1.380019,8502,8228,655,7,7.44
1.480009,8213,8488,655,7,7.36
1.580005,8033,8204,655,7,7.36
1.680016,6852,7792,655,7,7.39
1.779994,6852,6932,644,7,7.39
1.880018,6852,6864,644,7,7.39
1.97997,8192,7548,644,7,7.34
2.080006,8176,8180,81,7,7.34
2.179969,8168,8172,81,7,7.34
2.280009,8148,8156,81,7,7.44
2.379969,8185,8160,63,7,7.44
2.480008,8186,8180,63,7,7.44
2.579969,8189,8184,63,7,7.44
2.680015,8189,8184,63,7,7.44
2.77997,8190,8184,54,7,7.44
2.880017,8197,8188,54,7,7.44
2.979977,8502,8248,54,7,7.42
3.080007,8502,8488,160,7,7.42
3.179976,8201,8488,160,7,7.42
3.280007,8027,8148,160,7,7.33
3.379969,6852,7704,1312,7,7.33
3.480008,6852,6880,1312,7,7.42
3.579968,7912,6868,1312,7,7.42
3.680008,8192,7792,1312,7,7.42
3.77997,8169,8176,61,7,7.42
3.880007,8108,8132,61,7,7.42
3.979969,8087,8100,61,7,7.44
4.080008,8165,8092,481,7,7.44
4.179967,8197,8184,481,7,7.44
4.280006,8206,8200,481,7,7.43
4.379968,8206,8200,69,7,7.43
4.480007,8206,8200,69,7,7.44
4.579968,8200,8200,69,7,7.44
4.680008,8502,8256,69,7,7.43
4.779967,8502,8484,235,7,7.43
4.880025,8502,8488,235,7,7.43
4.979967,8189,8276,235,7,7.43
5.079992,6852,7664,2907,7,7.43
5.179969,6852,6876,2907,7,7.43
5.280008,6852,6864,2907,7,7.43
5.379969,8186,6952,2170,7,7.43
5.480016,8169,8140,2170,7,7.43
5.579967,8034,8112,2170,7,7.43
5.680007,7955,7992,2170,7,7.44
5.779969,8101,7984,69,7,7.44
5.880012,8178,8148,69,7,7.44
5.979967,8194,8180,69,7,7.42
6.080037,8198,8192,58,7,7.42
6.179977,8193,8188,58,7,7.42
6.280019,8200,8192,58,7,6.09
6.379969,8497,8200,87,7,6.09
6.479993,8502,8468,87,7,6.08
6.579969,8255,8484,87,7,6.08
6.679991,8045,8224,87,7,6.09
6.77997,6852,7812,2980,7,6.09
6.87999,6852,6896,2980,7,6.09
6.97997,6852,6872,2980,7,6.08
7.079992,8178,6916,1984,7,6.08
7.179968,8192,8080,1984,7,6.08
7.27999,8195,8184,1984,7,6.09
7.379976,8195,8188,66,7,6.09
7.479991,8195,8188,66,7,6.1
7.579969,8195,8188,66,7,6.1
7.679992,8195,8188,66,7,6.09
7.779967,8195,8188,75,7,6.09
7.879992,8195,8188,75,7,6.09
7.97997,8195,8188,75,7,6.09
8.079998,8195,8188,83,7,6.09
8.179976,8195,8188,83,7,6.09
8.279992,8195,8188,83,7,6.09
8.379976,8195,8188,90,7,6.09
8.479994,8195,8188,90,7,6.09
8.579968,8195,8188,90,7,6.09
8.679993,8195,8188,90,7,6.09
8.779969,8195,8188,98,7,6.09
8.879993,8195,8188,98,7,6.09
8.979969,8195,8188,98,7,6.1
9.079992,8213,8196,199,7,6.1
9.179971,8204,8204,199,7,6.1
9.279993,8198,8204,199,7,6.09
9.379978,8208,8200,0,7,6.09
9.479992,8211,8200,0,7,6.09
9.579991,8206,8200,0,7,6.09
9.680003,8202,8200,0,7,6.09
9.779999,8204,8200,0,7,6.09
9.879991,8206,8200,0,7,6.09
9.979968,8206,8200,0,7,6.09
10.079993,8203,8200,0,7,6.09
10.179968,8203,8200,0,7,6.09
10.279994,8205,8200,0,7,6.09
10.379969,8210,8200,83,7,6.09
10.479994,8207,8204,83,7,6.09
10.57997,8199,8204,83,7,6.09
10.679992,8208,8200,83,7,6.09
10.779969,8211,8204,203,7,6.09
10.879991,8204,8204,203,7,6.09
