t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
16.183895,6472,6476,0,14,6.09
16.283886,6472,6476,0,14,6.09
16.383886,6472,6476,0,14,6.09
16.483888,6472,6476,0,14,6.09
16.583887,6472,6476,0,14,6.09
16.683894,6472,6476,0,14,6.09
16.783887,6472,6476,0,14,6.09
16.883893,6472,6476,0,14,6.09
16.983886,6472,6476,0,14,6.09
17.083885,6472,6476,0,14,6.09
17.183888,6472,6476,0,14,6.09
17.283909,6472,6476,0,14,6.09
17.38389,6472,6476,0,14,6.09
17.483888,6472,6476,0,14,6.09
17.583895,6472,6476,0,14,6.09
17.683905,6472,6476,0,14,6.09
17.783887,6472,6476,0,14,6.09
17.883915,6472,6476,0,14,6.09
17.983887,6472,6476,0,14,6.09
18.083913,6472,6476,0,14,6.09
18.183885,6472,6476,0,14,6.09
18.283891,6472,6476,0,14,6.09
18.383887,6472,6476,0,14,6.09
18.483889,6472,6476,0,14,6.09
18.583887,6472,6476,0,14,6.1
18.683916,6472,6476,0,14,6.1
18.78389,6472,6476,0,14,6.1
18.883897,6472,6476,0,14,6.1
18.983888,6472,6476,0,14,6.1
19.083886,6472,6476,0,14,6.09
19.183887,6472,6476,0,14,6.09
19.283894,6472,6476,0,14,6.09
19.383886,6472,6476,0,14,6.09
19.483887,6472,6476,0,14,6.09
19.583888,6472,6476,0,14,6.09
19.683887,6472,6476,0,14,6.09
19.783886,6472,6476,0,14,6.09
19.883898,6472,6476,0,14,6.09
19.983887,6472,6476,0,14,6.09
20.083887,6472,6476,0,14,6.09
20.183887,6472,6476,0,14,6.09
20.283885,6472,6476,0,14,6.09
20.383888,6844,6732,595,14,6.09
20.483887,6844,6816,595,14,6.09
20.583887,6844,6816,595,14,5.94
20.683886,6997,6868,662,14,5.94
20.783887,7157,7016,662,14,5.94
20.883895,7317,7176,662,14,5.83
20.983903,7477,7340,839,14,5.83
21.083885,7637,7500,839,14,5.83
21.183913,7773,7664,839,14,5.83
21.283887,7805,7760,839,14,5.91
21.38392,7807,7780,247,14,5.91
21.483889,7806,7780,247,14,5.91
21.58389,7806,7776,247,14,5.97
21.683884,7806,7780,238,14,5.97
21.783885,7806,7784,238,14,5.97
21.883884,7825,7776,238,14,6.03
21.983892,7949,7824,706,14,6.03
22.083882,8095,7964,706,14,5.81
22.183886,8233,8112,706,14,5.81
22.283884,8370,8248,706,14,5.86
22.383885,8507,8384,875,14,5.86
22.483883,8644,8524,875,14,5.86
22.583886,8781,8660,875,14,5.88
22.683884,8918,8796,875,14,5.88
22.783884,9055,8932,875,14,5.88
22.883908,9192,9072,875,14,5.88
22.983885,9329,9212,593,14,5.88
23.083885,9467,9348,593,14,5.87
23.183885,9604,9488,593,14,5.87
23.283884,9740,9628,593,14,5.87
23.383885,9877,9764,665,14,5.87
23.483884,10013,9896,665,14,5.87
23.583884,10150,10036,665,14,5.87
23.683883,10287,10176,528,14,5.87
23.783885,10423,10312,528,14,5.87
23.883888,10560,10448,528,14,5.9
23.983885,10697,10584,812,14,5.9
24.083896,10740,10716,812,14,5.93
24.183896,10695,10712,812,14,5.93
24.283896,10689,10692,812,14,6.09
24.383897,10689,10676,221,14,6.09
24.483905,10689,10668,221,14,6.09
24.583897,10689,10664,221,14,6.07
24.683896,10689,10664,230,14,6.07
24.783898,10689,10664,230,14,6.07
24.883913,10689,10664,230,14,6.07
24.983898,10689,10664,394,14,6.07
25.083896,10689,10664,394,14,6.07
25.183899,10689,10664,394,14,6.07
25.283895,10689,10660,394,14,5.99
25.383898,10689,10664,230,14,5.99
25.483896,10689,10664,230,14,5.99
25.583897,10689,10664,230,14,6.07
25.683896,10689,10664,230,14,6.07
25.783897,10689,10664,230,14,6.07
25.883913,10689,10664,230,14,6.07
25.983897,10689,10664,230,14,6.07
26.083896,10689,10664,230,14,6.04
26.183897,10688,10664,230,14,6.04
26.283897,10688,10664,230,14,5.95
26.383897,10688,10660,257,14,5.95
26.483901,10688,10660,257,14,5.95
26.583908,10688,10660,257,14,5.98
26.683897,10688,10660,257,14,5.98
26.783897,10688,10664,257,14,5.98
26.883896,10688,10660,257,14,6.09
26.983903,10688,10664,93,14,6.09
27.083897,10688,10664,93,14,5.96
27.183898,10688,10664,93,15,5.96
27.283897,10688,10664,93,15,5.97
27.383898,10688,10664,221,15,5.97
27.483897,10688,10664,221,15,5.97
27.583898,10688,10664,221,15,6.01
27.683897,10688,10664,221,15,6.01
27.783907,10688,10664,221,15,6.01
27.883906,10688,10664,221,15,6.09
27.983897,10688,10664,221,15,6.09
28.083897,10688,10664,221,15,6
28.183927,10688,10660,221,15,6
28.283897,10688,10664,221,15,5.96
28.383927,10688,10660,257,15,5.96
28.483897,10688,10660,257,15,5.96
28.583926,10688,10664,257,15,6.09
28.683896,10688,10664,257,15,6.09
28.783915,10688,10664,257,15,6.09
28.883907,10688,10664,257,15,6.07
28.983898,10688,10664,221,15,6.07
29.083901,10688,10664,221,15,6.08
29.183898,10688,10664,221,15,6.08
29.283899,10688,10664,221,15,6.1
29.383898,10688,10664,52,15,6.1
29.483897,10688,10664,52,15,6.1
29.583898,10683,10660,52,15,6.03
29.683897,10683,10660,221,15,6.03
29.783898,10684,10660,221,15,6.03
29.883898,10684,10668,221,15,6.06
29.983897,10679,10664,221,15,6.06
30.083901,10660,10656,221,15,6.07
30.183931,10617,10648,221,15,6.07
30.283899,10582,10612,221,15,6.05
30.383935,10557,10580,221,15,6.05
30.483913,10550,10548,221,15,6.05
30.583915,10569,10536,221,15,5.95
30.683897,10590,10556,276,15,5.95
30.783897,10612,10580,276,15,5.95
30.883897,10637,10600,276,15,5.93
30.983905,10656,10624,139,15,5.93
31.083908,10668,10636,139,15,5.95
31.183898,10677,10648,139,15,5.95
31.283903,10680,10656,139,15,5.97
31.383906,10674,10652,385,15,5.97
31.483897,10670,10648,385,15,5.97
31.5839,10671,10648,385,15,6.03
31.683898,10676,10648,247,15,6.03
31.783899,10678,10652,247,15,6.03
31.883899,10679,10652,247,15,5.96
31.983899,10679,10656,221,15,5.96
32.083898,10679,10652,221,15,6.05
32.1839,10678,10652,221,15,6.05
32.283898,10679,10652,221,15,6.01
32.383897,10682,10652,230,15,6.01
32.483899,10686,10656,230,15,6.01
32.583898,10685,10660,230,15,6.07
32.683906,10685,10660,537,15,6.07
32.783899,10684,10660,537,15,6.07
32.883896,10685,10656,537,15,6.07
32.983898,10686,10660,238,15,6.07
33.083896,10682,10656,238,15,6.06
33.183897,10676,10656,238,15,6.06
33.283897,10671,10652,238,15,6.06
33.383897,10668,10648,221,15,6.06
33.483897,10663,10644,221,15,6.06
33.583896,10658,10636,221,15,6.1
33.68391,10655,10632,42,15,6.1
33.783899,10651,10628,42,15,6.1
33.883897,10650,10628,42,15,6
33.983898,10649,10624,291,15,6
34.083903,10648,10624,291,15,6.09
34.183897,10648,10624,291,15,6.09
34.283919,10648,10624,291,15,6.05
34.383898,10649,10624,230,15,6.05
34.483926,10648,10624,230,15,6.05
34.583899,10644,10624,230,15,6.06
34.683897,10643,10616,426,15,6.06
34.783897,10645,10620,426,15,6.06
34.883899,10648,10624,426,15,7.41
34.983896,10650,10624,238,15,7.41
35.083897,10655,10628,238,15,7.39
35.183898,10660,10632,238,15,7.39
35.283897,10664,10636,238,15,7.28
35.383897,10668,10644,221,15,7.28
35.483897,10675,10648,221,15,7.28
35.583898,10684,10656,221,15,7.42
35.683897,10666,10660,221,15,7.42
35.783898,10567,10656,221,15,7.42
35.883898,10434,10532,221,15,7.24
35.983896,10292,10392,428,15,7.24
36.083898,10147,10248,428,15,7.22
36.183899,10002,10100,428,15,7.22
36.283896,9859,9960,428,15,7.22
36.383898,9713,9816,385,15,7.22
36.483898,9565,9672,385,15,7.22
36.583907,9453,9528,385,15,7.24
36.683895,9396,9452,226,15,7.24
36.783895,9338,9400,226,15,7.24
36.883897,9263,9340,226,15,7.2
36.983908,9199,9268,542,15,7.2
37.083923,9155,9224,542,15,7.18
37.183909,9096,9180,542,16,7.18
37.283913,9011,9120,542,16,7.1
37.38391,8922,9036,612,16,7.1
37.483913,8825,8948,612,16,7.1
37.58391,8737,8852,612,16,7.09
37.683913,8651,8768,948,16,7.09
37.783916,8554,8680,948,16,7.09
37.883909,8456,8576,948,16,7.08
37.98391,8373,8480,651,16,7.08
38.083983,8279,8392,651,16,7.09
38.183917,8188,8296,651,16,7.09
38.283921,8089,8196,651,16,7.13
38.383908,7990,8092,515,16,7.13
38.483907,7887,7988,515,16,7.13
38.583909,7779,7876,515,16,7.17
38.683914,7656,7756,718,16,7.17
38.783908,7535,7624,718,16,7.17
38.883913,7426,7508,718,16,7.22
38.983896,7307,7396,588,16,7.22
39.083904,7182,7272,588,16,7.19
39.183896,7063,7148,588,16,7.19
39.283898,6934,7020,588,16,7.23
39.383899,6844,6892,426,16,7.23
39.483896,6844,6836,426,16,7.23
39.583896,6844,6820,426,16,7.41
39.683897,6844,6820,221,16,7.41
39.783897,6844,6820,221,16,7.41
39.883897,6844,6820,221,16,7.27
39.983906,6844,6820,221,16,7.27
40.083896,6844,6816,221,16,7.3
40.183897,6844,6816,221,16,7.3
40.283896,6844,6820,221,16,7.29
40.383908,6844,6820,58,16,7.29
40.483895,6844,6820,58,16,7.29
40.583896,6844,6820,58,16,7.43
40.683897,6844,6820,528,16,7.43
40.783897,6844,6820,528,16,7.43
40.88391,6844,6820,528,16,7.4
40.983897,6844,6820,221,16,7.4
41.083927,6844,6820,221,16,7.43
41.183897,6844,6820,221,16,7.43
41.283915,6844,6816,221,16,7.29
41.383897,6844,6824,58,16,7.29
41.483895,6844,6824,58,16,7.29
41.583898,6844,6832,58,16,7.38
41.683896,6844,6844,0,16,7.38
41.783895,6844,6848,0,16,7.38
41.883897,6844,6848,0,16,7.41
41.98391,6844,6852,221,16,7.41
42.083903,6844,6852,221,16,7.38
42.183901,6844,6852,221,16,7.38
42.283901,6844,6852,221,16,7.43
42.383911,6844,6852,221,16,7.43
42.483926,6844,6852,221,16,7.43
42.583901,6844,6852,221,16,7.42
42.683962,6844,6848,0,16,7.42
42.78391,6844,6844,0,16,7.42
42.883932,6844,6836,0,16,6.09
42.98391,6844,6836,58,16,6.09
43.083926,6844,6832,58,16,6.09
43.183919,6844,6828,58,16,6.09
43.28391,6844,6820,58,16,6.09
43.383911,6844,6820,221,16,6.09
43.483909,6844,6816,221,16,6.09
43.58391,6844,6820,221,16,6.1
43.68391,6844,6816,257,16,6.1
43.783912,6844,6820,257,16,6.1
43.883911,6844,6820,257,16,5.97
43.983902,6844,6820,221,16,5.97
44.083902,6844,6816,221,16,6.06
44.183901,6844,6820,221,16,6.06
44.283902,6844,6816,221,16,6.06
44.383901,6844,6816,221,16,6.06
44.483899,6844,6820,221,16,6.06
44.583901,6844,6816,221,16,6.04
44.683901,6844,6820,221,16,6.04
44.783904,6844,6816,221,16,6.04
44.883902,6844,6820,221,16,6
44.983909,6844,6820,221,16,6
45.08391,6844,6820,221,16,6.05
45.183912,6844,6820,221,16,6.05
45.283915,6844,6820,221,16,6.01
45.38391,6844,6820,221,16,6.01
45.483909,6844,6816,221,16,6.01
45.583911,6844,6820,221,16,6.04
45.683913,6844,6816,257,16,6.04
45.783911,6844,6820,257,16,6.04
45.883913,6844,6816,257,16,6.05
45.983911,6844,6820,221,16,6.05
46.08391,6844,6820,221,16,5.95
46.183911,6844,6816,221,16,5.95
46.283931,6844,6820,221,16,6.09
46.383974,6844,6820,221,16,6.09
46.483908,6844,6820,221,16,6.09
46.583927,6844,6820,221,16,6.09
46.683908,6844,6816,257,16,6.09
46.78391,6844,6820,257,16,6.09
46.883909,6844,6820,257,16,6.1
46.983901,6844,6820,221,16,6.1
47.0839,6844,6820,221,16,6.08
47.183902,6844,6820,221,16,6.08
47.283901,6844,6820,221,16,6.05
47.383903,6844,6820,221,16,6.05
47.4839,6844,6820,221,16,6.05
47.583903,6844,6816,221,16,6.04
47.683901,6844,6820,221,16,6.04
47.783903,6844,6820,221,16,6.04
47.883902,6844,6816,221,16,6
47.983902,6844,6820,221,16,6
48.083901,6844,6820,221,16,6.1
48.183902,6844,6820,221,16,6.1
48.283903,6844,6820,221,16,6.1
48.383902,6844,6820,221,16,6.1
48.483902,6844,6820,221,16,6.1
48.583903,6844,6820,221,16,6.09
48.683909,6844,6820,221,16,6.09
48.783902,6844,6820,221,16,6.09
48.883901,6844,6820,221,16,6.02
48.98391,6844,6816,257,16,6.02
49.083911,6844,6820,257,16,6.02
49.18391,6844,6820,257,16,6.02
49.28391,6844,6820,257,16,5.98
49.38391,6844,6816,426,16,5.98
49.483909,6844,6820,426,16,5.98
49.58391,6844,6820,426,16,6.09
49.683909,6844,6820,221,16,6.09
49.783909,6844,6820,221,16,6.09
49.883909,6844,6820,221,16,6.09
49.983898,6844,6820,221,16,6.09
50.083895,6844,6820,221,16,6.09
50.183927,6844,6820,221,16,6.09
50.283895,6844,6820,221,16,6.04
50.383925,6844,6820,221,16,6.04
50.483896,6844,6820,221,16,6.04
50.583914,6844,6820,221,16,6.09
50.683896,6844,6820,221,16,6.09
50.783897,6844,6820,221,16,6.09
50.883897,6844,6820,221,16,6.1
50.983897,6844,6820,221,16,6.1
51.083896,6844,6820,221,16,6.1
51.183896,6844,6820,221,16,6.1
51.283896,6844,6820,221,16,6.1
51.383897,6844,6820,221,16,6.1
51.483895,6844,6820,221,16,6.1
51.583896,6844,6820,221,16,6.1
51.683899,6844,6820,221,16,6.1
51.783896,6844,6820,221,16,6.1
51.883897,6844,6820,221,16,6.1
51.983896,6844,6820,221,16,6.1
52.083896,6844,6820,221,16,6.1
52.183896,6844,6820,221,16,6.1
52.283899,6844,6820,221,16,6.09
52.383896,6844,6820,221,16,6.09
52.483896,6844,6820,221,16,6.09
52.583901,6844,6820,221,16,6
52.683897,6844,6820,221,16,6
52.783898,6844,6820,221,16,6
52.883895,6844,6820,221,16,6.09
52.98391,6844,6820,426,16,6.09
53.083911,6844,6820,426,16,6.09
53.183909,6844,6820,426,16,6.09
53.283908,6844,6820,426,16,6.04
53.383909,6844,6820,221,16,6.04
53.48391,6844,6820,221,16,6.04
53.58391,6844,6820,221,16,6.03
53.683908,6844,6820,221,16,6.03
53.78391,6844,6820,221,16,6.03
53.883908,6844,6820,221,16,6.06
53.983908,6844,6820,221,16,6.06
54.08391,6844,6820,221,16,6.09
54.183909,6844,6816,221,16,6.09
54.283909,6844,6820,221,16,6.04
54.383909,6844,6820,221,16,6.04
54.483911,6844,6820,221,16,6.04
54.58391,6844,6820,221,16,6.06
54.683912,6844,6820,221,16,6.06
54.783909,6844,6820,221,16,6.06
54.883912,6844,6820,221,16,6.1
54.983902,6844,6820,221,16,6.1
55.0839,6844,6820,221,16,6.1
