t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
-0.027933,6987,6964,873,13,6.05
0.071998,6987,6964,501,13,6.05
0.171982,6987,6964,501,13,6.05
0.27198,6987,6964,501,13,6.04
0.37198,6987,6964,643,13,6.04
0.47198,6987,6964,643,13,6.03
0.571979,6987,6964,643,13,6.03
0.67198,6987,6964,643,13,6.03
0.771979,6987,6964,830,13,6.03
0.871979,6987,6964,830,13,6.03
0.988061,5508,6964,830,13,6.05
1.088062,5508,6028,4095,13,6.05
1.188034,5508,5524,4095,13,6.05
1.288071,5508,5512,4095,13,7.38
1.388034,5508,5512,0,13,7.38
1.488041,5508,5512,0,13,7.38
1.588034,5508,5512,0,13,7.38
1.688035,5508,5508,0,13,7.38
1.788036,5508,5512,0,13,7.38
1.888035,5508,5508,0,13,7.38
1.988037,5508,5508,0,13,7.38
2.088034,5508,5508,0,13,7.38
2.188036,5508,5508,0,13,7.38
2.288036,5508,5508,0,13,7.39
2.388035,5508,5508,0,13,7.39
2.488035,5508,5508,0,13,7.37
2.588034,5508,5508,0,13,7.37
2.688036,5508,5508,0,13,7.38
2.788035,5508,5508,0,13,7.38
2.888036,5508,5508,0,13,7.38
2.988035,5508,5508,0,13,7.38
3.088035,5508,5508,0,13,7.38
3.188036,5508,5508,0,13,7.38
3.288035,5508,5508,0,13,7.39
3.388036,5508,5508,0,13,7.39
3.488036,5508,5508,0,13,7.38
3.588035,5508,5508,0,13,7.38
3.688037,5508,5508,0,13,7.39
3.788045,5508,5508,0,13,7.39
3.888035,5508,5508,0,13,7.39
3.988036,5508,5508,0,13,7.39
4.088037,5508,5508,0,13,7.39
4.188036,5508,5508,0,13,7.39
4.288037,5508,5508,0,13,7.38
4.388035,5508,5508,0,13,7.38
4.488034,5508,5508,0,13,7.23
4.588037,5508,5508,0,13,7.23
4.688037,5508,5508,0,13,7.35
4.788056,5508,5508,0,13,7.35
4.888036,5508,5508,0,13,7.35
4.98805,5508,5508,0,13,7.37
