t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
0.04,7564,7556,534,13,6.07
0.140001,7564,7556,534,13,6.07
0.24,7564,7556,534,13,6.07
0.340001,7564,7560,0,13,6.07
0.44,7564,7560,0,13,6.09
0.540001,7564,7560,0,13,6.09
0.64,7564,7560,0,13,6.09
0.740001,7564,7560,0,13,6.09
0.84,7564,7560,0,13,6.09
0.940046,7564,7560,0,13,6.09
1.04045,7274,7560,0,13,6.09
1.140357,6863,7424,0,13,6.09
1.240249,6452,7008,0,13,6.44
1.340152,6125,6620,766,13,6.44
1.440054,6125,6192,766,13,7.37
1.540001,6125,6120,766,13,7.37
1.64,6125,6120,766,13,7.4
1.740001,6125,6120,100,13,7.4
1.84,6125,6116,100,13,7.4
1.940001,6125,6120,100,13,7.4
2.040005,6125,6120,131,13,7.4
2.140006,6125,6120,131,13,7.4
2.240008,6125,6120,131,13,7.4
2.340001,6125,6120,163,13,7.4
2.44,6125,6120,163,13,7.4
2.540001,6125,6120,163,13,7.4
2.64,6125,6120,163,13,7.4
2.740001,6125,6120,204,13,7.4
2.84,6125,6120,204,13,7.4
2.940001,6125,6120,204,13,7.4
3.040013,6125,6120,235,13,7.4
3.140544,6125,6120,235,13,7.4
3.240402,6125,6120,235,13,7.4
3.340356,6125,6120,266,13,7.4
3.440198,6125,6120,266,13,7.4
3.540174,6125,6120,266,13,7.4
3.640004,6125,6120,266,13,7.4
3.740001,6125,6120,307,13,7.4
3.84,6125,6120,307,13,7.4
3.940001,6125,6120,307,13,7.4
4.04,6125,6120,337,13,7.4
4.140001,6125,6120,337,13,7.4
4.24,6125,6120,337,13,7.4
4.340001,6125,6120,368,13,7.4
4.44,6125,6120,368,13,7.4
4.540001,6125,6120,368,13,7.4
4.64,6125,6120,368,13,7.4
4.740003,6125,6120,78,13,7.4
4.84,6125,6120,78,13,7.4
4.940001,6125,6120,78,13,7.4
5.040001,6125,6120,78,13,7.4
5.140001,6125,6120,78,13,7.4
5.240319,6125,6124,78,13,7.4
5.340215,6125,6124,0,13,7.4
5.440116,6125,6120,0,13,7.4
5.54002,6125,6124,0,13,7.4
5.64,6125,6120,0,13,7.4
5.740001,6125,6124,0,13,7.4
5.84,6125,6120,0,13,7.4
5.940001,6125,6124,0,13,7.4
6.04,6125,6120,78,13,7.4
6.140001,6125,6120,78,13,7.4
6.24,6125,6120,78,13,6.97
6.340001,6125,6124,0,13,6.97
6.44,6125,6120,0,13,6.11
6.540001,6125,6124,0,13,6.11
6.64,6125,6124,0,13,6.11
6.740001,6125,6120,327,13,6.11
6.84,6125,6124,327,13,6.11
6.940001,6125,6124,327,13,6.11
7.04,6125,6120,78,13,6.11
7.140028,6125,6124,78,13,6.11
7.240352,6125,6120,78,13,6.11
7.340245,6125,6120,163,13,6.11
7.440148,6125,6120,163,13,6.1
7.540051,6125,6120,163,13,6.1
7.64,6125,6120,163,13,6.11
7.740001,6125,6120,163,13,6.11
7.84,6125,6120,163,13,6.11
7.940001,6125,6120,163,13,6.11
8.04,6125,6124,204,13,6.11
8.140001,6125,6124,204,13,6.11
8.24,6125,6120,204,13,6.1
8.340001,6125,6120,78,13,6.1
8.440005,6125,6120,78,13,6.1
8.540011,6125,6120,78,13,6.1
8.64,6125,6120,78,13,6.1
8.740001,6125,6120,78,13,6.1
8.84,6125,6124,78,13,6.1
8.940001,6125,6120,78,13,5.99
9.04,6125,6120,78,13,5.99
9.140001,6125,6124,78,13,5.99
9.24,6125,6120,78,13,6.09
9.340374,6125,6124,163,13,6.09
9.440268,6125,6120,163,13,6.1
9.540172,6125,6120,163,13,6.1
